conversation_id,turn_id,speaker_role,text,label,stage
0,0,child,"gotta go, see you tomorrow.",non_grooming,none
0,1,child,nice shot! that was crazy.,non_grooming,none
0,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
0,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
0,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
0,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
0,6,child,"brb, need to finish homework.",non_grooming,none
0,7,adult,anyone wanna join my team?,non_grooming,none
0,8,adult,my internet is lagging again omg.,non_grooming,none
0,9,adult,my internet is lagging again omg.,non_grooming,none
0,10,child,my internet is lagging again omg.,non_grooming,none
0,11,adult,"gotta go, see you tomorrow.",non_grooming,none
1,0,adult,my internet is lagging again omg.,non_grooming,none
1,1,adult,"gotta go, see you tomorrow.",non_grooming,none
1,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
1,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
1,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
1,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
1,6,child,nice shot! that was crazy.,non_grooming,none
1,7,child,"gotta go, see you tomorrow.",non_grooming,none
1,8,child,anyone wanna join my team?,non_grooming,none
1,9,adult,nice shot! that was crazy.,non_grooming,none
1,10,adult,anyone wanna join my team?,non_grooming,none
1,11,adult,nice shot! that was crazy.,non_grooming,none
2,0,child,"brb, need to finish homework.",non_grooming,none
2,1,adult,"brb, need to finish homework.",non_grooming,none
2,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
2,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building
2,4,adult,"we should keep this just between us, it’s our secret.",grooming,isolation
2,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation
2,6,child,"brb, need to finish homework.",non_grooming,none
2,7,child,anyone wanna join my team?,non_grooming,none
2,8,adult,anyone wanna join my team?,non_grooming,none
2,9,child,my internet is lagging again omg.,non_grooming,none
2,10,adult,nice shot! that was crazy.,non_grooming,none
3,0,adult,"gotta go, see you tomorrow.",non_grooming,none
3,1,child,"brb, need to finish homework.",non_grooming,none
3,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
3,3,adult,"you can tell me anything, I’m not like other people.",grooming,trust_building
3,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
3,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation
3,6,child,"gotta go, see you tomorrow.",non_grooming,none
4,0,adult,anyone wanna join my team?,non_grooming,none
4,1,child,"brb, need to finish homework.",non_grooming,none
4,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming
4,3,adult,"don’t worry, I always have your back.",grooming,trust_building
4,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation
4,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation
4,6,adult,anyone wanna join my team?,non_grooming,none
4,7,adult,my internet is lagging again omg.,non_grooming,none
4,8,child,"gotta go, see you tomorrow.",non_grooming,none
4,9,child,nice shot! that was crazy.,non_grooming,none
5,0,child,anyone wanna join my team?,non_grooming,none
5,1,child,nice shot! that was crazy.,non_grooming,none
5,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming
5,3,adult,"don’t worry, I always have your back.",grooming,trust_building
