conversation_id,turn_id,speaker_role,text,label,stage,text_clean
0,0,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
0,1,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
0,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
0,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
0,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
0,5,adult,"I feel really close to you, do you feel the same way about me?",grooming,escalation,"i feel really close to you, do you feel the same way about me?"
0,6,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
0,7,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
0,8,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
0,9,child,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
0,10,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
0,11,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
1,0,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
1,1,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
1,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
1,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
1,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
1,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
1,6,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
2,0,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
2,1,child,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
2,2,adult,"you’re really good at this, how long have you been playing?",grooming,friendship_forming,"you’re really good at this, how long have you been playing?"
2,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
2,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
2,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
2,6,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
2,7,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
3,0,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
3,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
3,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
3,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
3,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
3,5,adult,"let’s talk somewhere more private, not in this chat.",grooming,escalation,"let’s talk somewhere more private, not in this chat."
3,6,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
3,7,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
4,0,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
4,1,child,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
4,2,adult,"hey, you seem cool, what games do you usually play?",grooming,friendship_forming,"hey, you seem cool, what games do you usually play?"
4,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
4,4,adult,"you shouldn’t listen to your friends, they’re just jealous.",grooming,isolation,"you shouldn’t listen to your friends, they’re just jealous."
4,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
4,6,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
4,7,child,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
4,8,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
4,9,adult,"gotta go, see you tomorrow.",non_grooming,none,"gotta go, see you tomorrow."
5,0,adult,my internet is lagging again omg.,non_grooming,none,my internet is lagging again omg.
5,1,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
5,2,adult,gg! want to play again tomorrow?,grooming,friendship_forming,gg! want to play again tomorrow?
5,3,adult,"you seem different from other players, like I actually get you.",grooming,trust_building,"you seem different from other players, like i actually get you."
5,4,adult,"don’t tell your parents about our chats, they wouldn’t understand.",grooming,isolation,"don’t tell your parents about our chats, they wouldn’t understand."
5,5,adult,can you send me a pic just for me? I won’t show anyone.,grooming,escalation,can you send me a pic just for me? i won’t show anyone.
5,6,adult,nice shot! that was crazy.,non_grooming,none,nice shot! that was crazy.
5,7,adult,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
5,8,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
5,9,adult,"brb, need to finish homework.",non_grooming,none,"brb, need to finish homework."
5,10,child,anyone wanna join my team?,non_grooming,none,anyone wanna join my team?
